actor_1_name,actor_2_name,actor_3_name,director_name,genres,plot_keywords,movie_title,comb
Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,batman v superman: dawn of justice,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action|Adventure|Sci-Fi based on comic book|batman|sequel to a reboot|superhero|superman
Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action|Adventure|Sci-Fi,crystal|epic|lex luthor|lois lane|return to earth,superman returns,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action|Adventure|Sci-Fi crystal|epic|lex luthor|lois lane|return to earth
Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action|Adventure,action hero|attempted rape|bond girl|official james bond series|revenge,quantum of solace,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action|Adventure action hero|attempted rape|bond girl|official james bond series|revenge
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,box office hit|giant squid|heart|liar's dice|monster,pirates of the caribbean: dead man's chest,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action|Adventure|Fantasy box office hit|giant squid|heart|liar's dice|monster
Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,the lone ranger,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action|Adventure|Western horse|outlaw|texas|texas ranger|train
Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,man of steel,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action|Adventure|Fantasy|Sci-Fi based on comic book|british actor playing american character|final battle|origin of hero|reboot
Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action|Adventure|Family|Fantasy,brother brother relationship|brother sister relationship|good versus evil|king|narnia,the chronicles of narnia: prince caspian,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action|Adventure|Family|Fantasy brother brother relationship|brother sister relationship|good versus evil|king|narnia
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,the avengers,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action|Adventure|Sci-Fi alien invasion|assassin|battle|iron man|soldier
Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action|Adventure|Fantasy,blackbeard|captain|pirate|revenge|soldier,pirates of the caribbean: on stranger tides,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action|Adventure|Fantasy blackbeard|captain|pirate|revenge|soldier
Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|criminal|m.i.b.|maximum security prison|prison,men in black 3,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action|Adventure|Comedy|Family|Fantasy|Sci-Fi alien|criminal|m.i.b.|maximum security prison|prison
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,army|elf|hobbit|middle earth|orc,the hobbit: the battle of the five armies,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy army|elf|hobbit|middle earth|orc
Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action|Adventure|Fantasy,lizard|outcast|spider|spider man|teenager,the amazing spider-man,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action|Adventure|Fantasy lizard|outcast|spider|spider man|teenager
Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action|Adventure|Drama|History,1190s|archer|england|king of england|robin hood,robin hood,Mark Addy William Hurt Scott Grimes Ridley Scott Action|Adventure|Drama|History 1190s|archer|england|king of england|robin hood
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,the hobbit: the desolation of smaug,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy dwarf|elf|lake town|mountain|sword and sorcery
Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure|Family|Fantasy,children|epic|friend|girl|quest,the golden compass,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure|Family|Fantasy children|epic|friend|girl|quest
Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,Action|Adventure|Drama|Romance,animal name in title|ape abducts a woman|gorilla|island|king kong,king kong,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action|Adventure|Drama|Romance animal name in title|ape abducts a woman|gorilla|island|king kong
Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,Drama|Romance,artist|love|ship|titanic|wet,titanic,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama|Romance artist|love|ship|titanic|wet
Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,captain america: civil war,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action|Adventure|Sci-Fi based on comic book|knife|marvel cinematic universe|returning character killed off|superhero
Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action|Adventure|Sci-Fi|Thriller,box office flop|hawaii|naval|oahu hawaii|ship,battleship,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action|Adventure|Sci-Fi|Thriller box office flop|hawaii|naval|oahu hawaii|ship
Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,jurassic world,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action|Adventure|Sci-Fi|Thriller dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor
Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,Action|Adventure|Thriller,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,skyfall,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action|Adventure|Thriller brawl|childhood home|computer cracker|intelligence agency|terrorist cell
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,death|doctor|scientist|super villain|tentacle,spider-man 2,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action|Adventure|Fantasy|Romance death|doctor|scientist|super villain|tentacle
Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,iron man 3,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action|Adventure|Sci-Fi armor|explosion|human bomb|missile attack|terrorist
Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,alice in wonderland,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure|Family|Fantasy alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,battle|mutant|outrage|walking through a wall|x men,x-men: the last stand,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action|Adventure|Fantasy|Sci-Fi|Thriller battle|mutant|outrage|walking through a wall|x men
Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,cheating|fraternity|monster|singing in a car|university,monsters university,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure|Animation|Comedy|Family|Fantasy cheating|fraternity|monster|singing in a car|university
Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,Action|Adventure|Sci-Fi,autobot|decepticon|machine|sun|symbol,transformers: revenge of the fallen,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action|Adventure|Sci-Fi autobot|decepticon|machine|sun|symbol
Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,Action|Adventure|Sci-Fi,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,transformers: age of extinction,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action|Adventure|Sci-Fi blockbuster|bumblebee the character|semi truck and trailer|texas|truck
Tim Holmes,Mila Kunis,James Franco,Sam Raimi,Adventure|Family|Fantasy,circus|magic|magician|oz|witch,oz the great and powerful,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure|Family|Fantasy circus|magic|magician|oz|witch
Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,the amazing spider-man 2,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action|Adventure|Fantasy|Sci-Fi costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager
Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,Action|Adventure|Sci-Fi,arcade|bridge|disappearance|escape|warrior,tron: legacy,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action|Adventure|Sci-Fi arcade|bridge|disappearance|escape|warrior
Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,Adventure|Animation|Comedy|Family|Sport,best friend|car race|conspiracy|gadget car|spy,cars 2,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure|Animation|Comedy|Family|Sport best friend|car race|conspiracy|gadget car|spy
Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,Action|Adventure|Sci-Fi,autopsy|lantern|planet|ring|test pilot,green lantern,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action|Adventure|Sci-Fi autopsy|lantern|planet|ring|test pilot
Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,college|day care|escape|teddy bear|toy,toy story 3,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure|Animation|Comedy|Family|Fantasy college|day care|escape|teddy bear|toy
Christian Bale,Bryce Dallas Howard,Common,McG,Action|Adventure|Sci-Fi,death row|future|machine|rescue|skynet,terminator salvation,Christian Bale Bryce Dallas Howard Common McG Action|Adventure|Sci-Fi death row|future|machine|rescue|skynet
Jason Statham,Paul Walker,Vin Diesel,James Wan,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,furious 7,Jason Statham Paul Walker Vin Diesel James Wan Action|Crime|Thriller car falling off a cliff|hospital|revenge|star died before release|terrorist
Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,chaos|disease|infection|pandemic|zombie,world war z,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action|Adventure|Horror|Sci-Fi|Thriller chaos|disease|infection|pandemic|zombie
Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,dystopia|super strength|supernatural power|time paradox|time travel,x-men: days of future past,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action|Adventure|Fantasy|Sci-Fi|Thriller dystopia|super strength|supernatural power|time paradox|time travel
Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,Action|Adventure|Sci-Fi,admiral|captain|manhunt|mission|space,star trek into darkness,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action|Adventure|Sci-Fi admiral|captain|manhunt|mission|space
Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,Adventure|Fantasy,bean|giant|king|no opening credits|princess,jack the giant slayer,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure|Fantasy bean|giant|king|no opening credits|princess
Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,Drama|Romance,ingratitude|mansion|party|title appears in writing|tragedy,the great gatsby,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama|Romance ingratitude|mansion|party|title appears in writing|tragedy
Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,Action|Adventure|Fantasy|Romance,alamut|dagger|king|persia|princess,prince of persia: the sands of time,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action|Adventure|Fantasy|Romance alamut|dagger|king|persia|princess
Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,Action|Adventure|Sci-Fi,giant monster|kaiju|pilot|portal|robot,pacific rim,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action|Adventure|Sci-Fi giant monster|kaiju|pilot|portal|robot
Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,autobot|decepticon|job interview|moon|spacecraft,transformers: dark of the moon,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action|Adventure|Sci-Fi autobot|decepticon|job interview|moon|spacecraft
Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,Action|Adventure|Fantasy,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,indiana jones and the kingdom of the crystal skull,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action|Adventure|Fantasy cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957
A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,apatosaurus|asteroid|dinosaur|fear|river,the good dinosaur,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure|Animation|Comedy|Family|Fantasy apatosaurus|asteroid|dinosaur|fear|river
Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,archery|coming of age|female warrior|princess|rebellious daughter,brave,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure|Animation|Comedy|Family|Fantasy archery|coming of age|female warrior|princess|rebellious daughter
Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,Action|Adventure|Sci-Fi|Thriller,hatred|sequel|space opera|star trek|third part,star trek beyond,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action|Adventure|Sci-Fi|Thriller hatred|sequel|space opera|star trek|third part
John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,earth|obesity|plant|robot|soil,wall·e,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure|Animation|Family|Sci-Fi earth|obesity|plant|robot|soil
Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,Action|Comedy|Crime|Thriller,ambassador|assassination|chinese|french|triad,rush hour 3,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action|Comedy|Crime|Thriller ambassador|assassination|chinese|french|triad
Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,Action|Adventure|Sci-Fi,ark|catastrophe|geologist|president|writer,2012,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action|Adventure|Sci-Fi ark|catastrophe|geologist|president|writer
Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,Animation|Drama|Family|Fantasy,charles dickens|christmas|christmas eve|ghost|scrooge,a christmas carol,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation|Drama|Family|Fantasy charles dickens|christmas|christmas eve|ghost|scrooge
Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,Action|Adventure|Sci-Fi,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,jupiter ascending,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action|Adventure|Sci-Fi box office flop|critically bashed|planet earth|space opera|woman in bra and panties
Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,the legend of tarzan,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action|Adventure|Drama|Romance africa|capture|jungle|male objectification|tarzan
Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,Adventure|Family|Fantasy,hide and seek|lion|magic|professor|snow,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure|Family|Fantasy hide and seek|lion|magic|professor|snow
Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,Action|Adventure|Sci-Fi,mutant|superhero|superhero team|x men|year 1983,x-men: apocalypse,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action|Adventure|Sci-Fi mutant|superhero|superhero team|x men|year 1983
Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,Action|Crime|Drama|Thriller,based on comic book|dc comics|psychopath|star died before release|urban setting,the dark knight,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action|Crime|Drama|Thriller based on comic book|dc comics|psychopath|star died before release|urban setting
John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,Adventure|Animation|Comedy|Family,balloon|house|promise|retirement|skeleton,up,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure|Animation|Comedy|Family balloon|house|promise|retirement|skeleton
Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|alien invasion|alien space craft|giant|giantess,monsters vs. aliens,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action|Adventure|Animation|Comedy|Family|Sci-Fi alien|alien invasion|alien space craft|giant|giantess
Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,afghanistan|billionaire|inventor|playboy|u.s. air force,iron man,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action|Adventure|Sci-Fi afghanistan|billionaire|inventor|playboy|u.s. air force
Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,Adventure|Drama|Family|Mystery,automaton|mechanical|railway station|steampunk|train,hugo,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure|Drama|Family|Mystery automaton|mechanical|railway station|steampunk|train
Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,buddy movie|general|inventor|steampunk|utah,wild wild west,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action|Comedy|Sci-Fi|Western buddy movie|general|inventor|steampunk|utah
Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,army|china|emperor|mummy|shangri la,the mummy: tomb of the dragon emperor,Jet Li Brendan Fraser Russell Wong Rob Cohen Action|Adventure|Fantasy|Horror|Thriller army|china|emperor|mummy|shangri la
Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,Action|Adventure|Comedy|Sci-Fi,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,suicide squad,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action|Adventure|Comedy|Sci-Fi based on comic book|critically bashed|father daughter relationship|reference to superman|super villain
Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,Comedy|Family|Fantasy,ark|change|congressman|depiction of god|flood,evan almighty,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy|Family|Fantasy ark|change|congressman|depiction of god|flood
Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,Action|Adventure|Sci-Fi,alien|combat|dying repeatedly|end of the world|time loop,edge of tomorrow,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action|Adventure|Sci-Fi alien|combat|dying repeatedly|end of the world|time loop
Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,future|sail|sea|smoker|water,waterworld,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action|Adventure|Sci-Fi|Thriller future|sail|sea|smoker|water
Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,cobra|gi joe|snake|train|warhead,g.i. joe: the rise of cobra,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action|Adventure|Sci-Fi|Thriller cobra|gi joe|snake|train|warhead
Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,anger|joy|memory|running away|sadness,inside out,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure|Animation|Comedy|Drama|Family|Fantasy anger|joy|memory|running away|sadness
Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,the jungle book,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure|Drama|Family|Fantasy fire|jungle|remake|tiger|wolf
Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,hammer|military|monaco|revenge|tony stark,iron man 2,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action|Adventure|Sci-Fi hammer|military|monaco|revenge|tony stark
Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,Action|Adventure|Drama|Fantasy,evil queen|fairy tale|magic|queen|snow white,snow white and the huntsman,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action|Adventure|Drama|Fantasy evil queen|fairy tale|magic|queen|snow white
Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,curse|dark fantasy|fairy|king|kingdom,maleficent,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action|Adventure|Family|Fantasy|Romance curse|dark fantasy|fairy|king|kingdom
Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,Action|Adventure|Drama|Sci-Fi,ape|dam|leader|post apocalypse|sequel,dawn of the planet of the apes,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action|Adventure|Drama|Sci-Fi ape|dam|leader|post apocalypse|sequel
Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé,Action|Adventure|Romance|Sci-Fi,1770s|british india|great barrier reef|india|ring,the lovers,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action|Adventure|Romance|Sci-Fi 1770s|british india|great barrier reef|india|ring
Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,47 ronin,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action|Adventure|Drama|Fantasy box office flop|ronin|samurai|shogun|tournament
Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,Action|Adventure|Sci-Fi,conspiracy|heroism|megalomaniac|super soldier|world domination,captain america: the winter soldier,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action|Adventure|Sci-Fi conspiracy|heroism|megalomaniac|super soldier|world domination
Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,alternate world|fairy tale parody|female warrior|ogre|true love,shrek forever after,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure|Animation|Comedy|Family|Fantasy alternate world|fairy tale parody|female warrior|ogre|true love
Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,boy genius|futuristic city|inventor|teenage girl|time travel,tomorrowland,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action|Adventure|Family|Mystery|Sci-Fi boy genius|futuristic city|inventor|teenage girl|time travel
Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,high tech|martial arts|masked man|robot|superhero,big hero 6,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi high tech|martial arts|masked man|robot|superhero
Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,arcade|candy|glitch|king|medal,wreck-it ralph,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure|Animation|Comedy|Family|Sci-Fi arcade|candy|glitch|king|medal
Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,Adventure|Animation|Family|Fantasy,boy|christmas|christmas eve|north pole|train,the polar express,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure|Animation|Family|Fantasy boy|christmas|christmas eve|north pole|train
